Index;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
637;92;31;89;3;0;8;25
638;69;91;63;11;0;9;31
639;47;50;80;10;0;32;38
640;52;44;60;40;0;26;3
641;91;49;61;3;0;17;22
642;90;79;71;26;0;7;37
643;61;65;64;1;0;12;4
644;60;37;71;8;0;48;4
645;37;17;67;2;0;34;9
646;31;30;88;7;0;8;8
647;57;23;66;4;6;15;4
648;46;43;43;23;8;8;22
649;84;49;72;8;0;15;8
650;60;47;62;3;0;38;4
651;77;76;84;3;0;38;4
652;93;61;74;9;0;17;8
653;31;4;86;1;0;28;17
654;76;92;62;6;0;8;13
655;91;42;60;0;0;9;12
656;78;53;74;4;0;45;21
657;81;83;75;14;0;29;34
658;67;8;54;27;0;8;4
659;86;89;79;17;0;11;6
660;74;61;52;30;0;26;9
661;79;86;52;66;0;9;7
662;73;37;74;28;0;14;6
663;89;75;70;6;0;13;5
664;65;60;60;11;0;10;40
665;89;89;86;16;0;8;5
666;51;66;53;60;0;11;18
667;47;44;76;8;91;9;3
668;78;58;45;47;0;18;3
669;31;31;63;47;27;21;12
670;44;18;38;70;0;12;4
671;73;68;83;55;0;90;7
672;39;45;55;73;0;9;21
673;84;54;51;47;0;12;40
674;56;19;46;92;72;11;3
675;92;62;86;11;0;24;24
676;76;77;52;4;0;8;3
677;62;46;73;10;0;67;11
678;68;57;77;2;0;10;5
679;74;59;87;3;0;8;5
680;44;8;20;74;42;11;3
681;81;68;63;17;0;10;22
682;76;96;70;18;0;33;4
683;87;82;53;10;0;5;8
684;81;40;73;15;0;9;8
685;95;36;37;35;0;10;28
686;64;76;44;70;9;12;4
687;28;26;20;19;0;30;3
688;78;55;57;4;0;10;8
689;81;56;70;4;0;5;24
690;80;71;68;6;0;10;37
691;65;11;58;0;0;12;9
692;55;86;44;40;0;7;4
693;72;55;64;49;0;7;4
694;59;73;45;44;0;34;3
695;77;68;70;6;0;17;20
696;80;24;65;2;0;9;4
697;42;33;44;62;0;8;6
698;76;81;80;20;0;25;4
699;41;23;40;27;0;30;5
700;59;23;46;66;0;15;6
701;69;90;88;5;0;29;8
702;53;66;78;0;0;16;5
703;69;35;57;12;0;10;9
704;67;37;46;13;0;10;39
705;61;47;65;3;0;17;4
706;75;64;52;41;0;11;3
707;39;28;77;4;0;6;29
708;86;75;52;54;0;10;4
709;68;33;43;38;0;36;14
710;91;32;56;3;0;11;10
711;58;56;83;5;0;7;4
712;45;27;67;32;0;13;14
713;81;59;83;9;0;11;5
714;60;58;69;2;0;58;4
715;68;41;55;16;0;10;12
716;76;63;71;3;0;10;3
717;70;54;71;0;0;33;4
718;83;63;74;14;0;16;6
719;72;22;46;24;0;9;6
720;59;30;62;1;0;8;4
721;63;45;64;34;0;9;8
722;56;41;57;1;0;13;3
723;78;63;64;1;0;7;4
724;79;48;84;13;0;21;23
725;70;22;61;2;0;10;34
726;86;91;79;29;0;60;16
727;71;55;44;74;0;11;6
728;71;63;45;45;0;11;3
729;69;90;91;6;0;35;4
730;93;77;45;25;0;13;27
731;57;6;27;84;0;9;3
732;89;59;64;5;0;19;7
733;87;28;50;12;0;10;10
734;58;71;80;15;0;7;41
735;86;97;80;36;0;9;6
736;78;83;75;41;0;27;8
737;45;25;84;21;0;13;6
738;79;87;81;4;0;10;4
739;86;62;49;51;0;35;21
740;91;73;72;13;0;9;15
741;68;24;58;44;0;6;3
742;61;20;38;61;0;10;5
743;61;53;38;84;0;28;44
744;81;39;66;38;0;12;14
745;84;72;74;10;0;34;7
746;78;40;74;36;0;17;27
747;56;61;90;36;0;18;31
748;79;22;55;31;0;12;5
749;52;32;83;24;0;17;43
750;55;50;78;19;0;11;35
751;87;93;59;28;0;17;5
752;85;41;43;39;0;12;21
753;50;39;78;4;0;11;33
754;71;43;65;23;0;9;5
755;92;78;57;46;0;14;9
756;66;58;79;23;0;22;20
757;78;51;43;69;0;14;9
758;80;45;62;76;0;10;38
759;82;50;67;12;0;13;5
760;65;52;69;31;0;8;36
761;61;66;71;53;0;32;46
762;84;74;69;21;0;18;6
763;78;55;60;59;0;7;4
764;56;56;47;76;0;8;36
765;86;67;65;42;0;35;7
766;57;71;82;19;0;15;29
767;50;41;50;69;0;12;6
768;80;26;85;23;0;11;21
769;81;77;79;19;0;47;8
770;63;60;70;5;0;9;31
771;61;24;62;60;0;24;31
772;83;41;65;0;10;11;8
773;85;72;58;9;0;49;12
774;51;48;82;0;0;5;3
775;73;26;54;30;0;34;32
776;91;91;96;3;0;3;9
777;36;30;54;34;0;14;5
778;44;74;42;88;0;9;9
779;64;80;88;0;0;12;6
780;83;32;82;14;0;12;4
781;38;20;66;9;0;9;8
782;37;14;24;80;0;11;4
783;43;60;38;76;1;48;38
784;88;28;66;6;0;13;31
785;66;29;65;23;0;8;7
786;84;61;42;31;0;9;9
787;66;83;43;84;0;19;19
788;71;67;60;7;0;6;4
789;49;50;37;87;0;11;35
790;68;45;71;18;0;11;25
791;77;53;78;19;0;29;4
792;71;37;52;62;0;11;36
793;82;82;66;13;0;11;6
794;87;46;60;1;0;13;16
795;73;59;81;13;0;9;6
796;86;43;62;5;0;13;14
797;54;45;79;1;0;17;5
798;47;33;83;18;0;10;5
799;53;14;43;64;0;13;3
